Name,Trial #,Gray Level (0-255),Reaction (ms)
Nathan 6,1,64,261
Nathan 6,2,64,240
Nathan 6,3,255,214
Nathan 6,4,224,235
Nathan 6,5,224,224
Nathan 6,6,128,260
Nathan 6,7,128,251
Nathan 6,8,255,209
Nathan 6,9,32,268
Nathan 6,10,160,244
Nathan 6,11,224,237
Nathan 6,12,32,253
Nathan 6,13,255,226
Nathan 6,14,64,238
Nathan 6,15,96,265
Nathan 6,16,192,248
Nathan 6,17,192,227
Nathan 6,18,32,228
Nathan 6,19,192,250
Nathan 6,20,224,417
Nathan 6,21,96,227
Nathan 6,22,96,241
Nathan 6,23,160,246
Nathan 6,24,160,246
Nathan 6,25,224,243
Nathan 6,26,160,221
Nathan 6,27,128,226
Nathan 6,28,192,225
Nathan 6,29,64,264
Nathan 6,30,32,259
Nathan 6,31,96,275
Nathan 6,32,64,230
Nathan 6,33,96,239
Nathan 6,34,32,277
Nathan 6,35,255,243
Nathan 6,36,128,237
Nathan 6,37,128,238
Nathan 6,38,160,251
Nathan 6,39,192,301
Nathan 6,40,255,313
Nathan 7,1,192,342
Nathan 7,2,160,285
Nathan 7,3,32,316
Nathan 7,4,255,282
Nathan 7,5,128,364
Nathan 7,6,255,296
Nathan 7,7,160,321
Nathan 7,8,64,383
Nathan 7,9,64,700
Nathan 7,10,128,496
Nathan 7,11,32,379
Nathan 7,12,192,337
Nathan 7,13,192,332
Nathan 7,14,96,262
Nathan 7,15,64,271
Nathan 7,16,96,361
Nathan 7,17,160,293
Nathan 7,18,224,430
Nathan 7,19,255,283
Nathan 7,20,128,285
Nathan 7,21,32,263
Nathan 7,22,224,320
Nathan 7,23,64,258
Nathan 7,24,96,332
Nathan 7,25,96,281
Nathan 7,26,32,329
Nathan 7,27,192,296
Nathan 7,28,160,278
Nathan 7,29,128,315
Nathan 7,30,224,330
Nathan 7,31,32,286
Nathan 7,32,64,356
Nathan 7,33,160,285
Nathan 7,34,224,303
Nathan 7,35,255,268
Nathan 7,36,128,301
Nathan 7,37,255,471
Nathan 7,38,192,370
Nathan 7,39,224,316
Nathan 7,40,96,273
Tejas 1,1,255,398
Tejas 1,2,255,270
Tejas 1,3,160,296
